Type of User,Source,Device,Returning Visitor,New Visitor,Google CPC,TripAdvisor,Direct,DFA,Email,Referral,Desktop,Mobile,Tablet,Users,Sessions,No of Pages Visited,No of Transactions,Revenue
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,1,2,25,2,892.08
Returning Visitor,katieandjeremiahdocozumel.squarespace.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,4,20,1,888
Returning Visitor,yahoo / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,88,130,641,2,884.26
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,893,1171,4109,1,882
Returning Visitor,iberostarpoints.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,9,18,77,1,881.28
Returning Visitor,weddingwire.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,10,10,45,1,879
Returning Visitor,olehotels.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,11,12,25,1,873.6
Returning Visitor,dbm / cpm,desktop,1,0,0,0,0,0,0,0,1,0,0,329,413,1327,1,872.1
New Visitor,tripadvisor / cpc,tablet,0,1,0,1,0,0,0,0,0,0,1,86,86,150,1,872.1
New Visitor,grandhotelmencey.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,54,55,85,2,872.1
Returning Visitor,eon.mitarbeiterangebote.de / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,2,6,1,871.42
New Visitor,TripAdvisor / referral,desktop,0,1,0,1,0,0,0,1,1,0,0,123,123,396,1,864
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,6,14,78,1,858.38
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,60,60,107,1,850.5
Returning Visitor,trivago.se / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,14,26,63,1,845.5
Returning Visitor,grandhotelmirador.com / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,5,5,11,1,841.5
Returning Visitor,iberostarpoints.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,2,10,1,841.37
Returning Visitor,BINGFR / cpc,tablet,1,0,0,0,0,0,0,0,0,0,1,3,5,28,1,830.79
New Visitor,yahoo / organic,mobile,0,1,0,0,0,0,0,0,0,1,0,166,168,849,1,824.85
New Visitor,trivago.co.uk / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,585,587,872,1,822.8
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,1,5,9,1,800.16
Returning Visitor,allianz.mitarbeiterangebote.de / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,6,23,117,1,795.84
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,96,96,302,1,786.6
Returning Visitor,bing / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,5,12,50,1,780.52
New Visitor,dfa / cpc,tablet,0,1,0,0,0,1,0,0,0,0,1,6424,6432,12364,1,776
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,48,66,164,1,775.69
Returning Visitor,olehotels.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,3,3,9,1,774.9
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,649,650,2139,1,766.3
Returning Visitor,startsiden / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,5,10,68,1,720.12
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,2151,2159,7285,1,716
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,21,29,127,1,715.5
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,7,12,50,1,710
Returning Visitor,tripadvisor / cpc,desktop,1,0,0,1,0,0,0,0,1,0,0,91,129,347,1,709.01
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,110,110,369,1,708
Returning Visitor,portal.swiss.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,4,10,1,707.28
Returning Visitor,clubfnac.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,9,9,27,1,707.06
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,22,31,203,1,702
New Visitor,Holidaycheck / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,1745,1750,5761,1,700.24
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,70,236,760,2,698.72
Returning Visitor,hoteldelasletras.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,13,23,40,1,692.55
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,22,33,59,1,689.16
Returning Visitor,corporatebikeandfriends.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,2,10,1,687.59
Returning Visitor,google / organic,tablet,1,0,0,0,0,0,0,0,0,0,1,4030,7697,34680,2,676.13
Returning Visitor,heartbeat.prod.int / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,5,36,1,671.84
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,20,29,98,1,645
Returning Visitor,newsletter_Cancun / emailEN,desktop,1,0,0,0,0,0,1,0,1,0,0,115,128,442,1,641.37
New Visitor,3c.gmx.net / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,4,4,15,1,631.19
